"sum_stat" "condition" "response" "model" "len"
"184" "fast_mean" 31 "upper" "independent" 39
"185" "fast_mean" 31 "upper" "normal" 37
"186" "fast_mean" 31 "upper" "t" 38
"187" "fast_mean" 32 "lower" "independent" 33
"188" "fast_mean" 32 "lower" "normal" 31
"189" "fast_mean" 32 "lower" "t" 31
"190" "fast_mean" 32 "upper" "independent" 38
"191" "fast_mean" 32 "upper" "normal" 37
"192" "fast_mean" 32 "upper" "t" 37
"193" "fast_mean" 33 "lower" "independent" 31
"194" "fast_mean" 33 "lower" "normal" 30
"195" "fast_mean" 33 "lower" "t" 30
"196" "fast_mean" 33 "upper" "independent" 37
"197" "fast_mean" 33 "upper" "normal" 35
"198" "fast_mean" 33 "upper" "t" 36
"199" "fast_mean" 34 "lower" "independent" 30
"200" "fast_mean" 34 "lower" "normal" 29
"201" "fast_mean" 34 "lower" "t" 29
"202" "fast_mean" 34 "upper" "independent" 35
"203" "fast_mean" 34 "upper" "normal" 34
"204" "fast_mean" 34 "upper" "t" 34
"205" "fast_mean" 35 "lower" "independent" 28
"206" "fast_mean" 35 "lower" "normal" 27
"207" "fast_mean" 35 "lower" "t" 26
"208" "fast_mean" 35 "upper" "independent" 32
"209" "fast_mean" 35 "upper" "normal" 31
"210" "fast_mean" 35 "upper" "t" 31
"211" "fast_mean" 36 "lower" "independent" 24
"212" "fast_mean" 36 "lower" "normal" 24
"213" "fast_mean" 36 "lower" "t" 23
"214" "fast_mean" 36 "upper" "independent" 29
"215" "fast_mean" 36 "upper" "normal" 29
"216" "fast_mean" 36 "upper" "t" 28
"217" "fast_mean" 37 "lower" "independent" 458
"218" "fast_mean" 37 "lower" "normal" 470
"219" "fast_mean" 37 "lower" "t" 469
"220" "fast_mean" 37 "upper" "independent" 498
"221" "fast_mean" 37 "upper" "normal" 507
"222" "fast_mean" 37 "upper" "t" 505
"223" "fast_mean" 38 "lower" "independent" 472
"224" "fast_mean" 38 "lower" "normal" 485
"225" "fast_mean" 38 "lower" "t" 482
"226" "fast_mean" 38 "upper" "independent" 478
"227" "fast_mean" 38 "upper" "normal" 480
"228" "fast_mean" 38 "upper" "t" 483
"229" "fast_mean" 39 "lower" "independent" 483
"230" "fast_mean" 39 "lower" "normal" 495
"231" "fast_mean" 39 "lower" "t" 506
"232" "fast_mean" 39 "upper" "independent" 443
"233" "fast_mean" 39 "upper" "normal" 452
"234" "fast_mean" 39 "upper" "t" 450
